Organization,Description,TargetIndustry,Governance,BusinessSupportType,Website,StreetAddress,Unit,City,Province,PostalCode,Title,ContactLastName,ContactFirstName,Telephone,Email
Artscape,"Artscape is a not-for-profit urban development organization that makes space for creativity and transforms communities.  Our work involves clustering creative people together in real estate projects that serve the needs of the arts and cultural community and advance multiple public policy objectives, private development interests, community and neighbourhood aspirations and philanthropic missions.  For more information please visit www.torontoartscape.org.",Creative,Not-for-profit,Incubator,http://www.torontoartscape.org.,171 East Liberty Street,Suite 224,Toronto,Ontario,M6K 3P6,Executive Assistant to the President and CEO,Erin,Breau-Barkley,416-392-1038,erin@torontoartscape.on.ca
Bitcoin Decentral Accelerate,"Decentral Accelerate  The 1st Startup Accelerator for Decentralized Tech  Around the world, visionary technologists, entrepreneurs, and investors are building startups based on new and better technological architectures; massively scalable models; pioneered by Bitcoin, open-source, peer-to-peer, cryptographic, and self-regulating. DECENTRAL ACCELERATE helps these ventures scale to success. A 3 month mentor-driven curriculum of due diligence & structuring creates ventures set for scale •The ultimate Mentor Network for the Dapp / Fintech innovation sector •12 hours or more of mentorship per week •Deliverables & Daily Scrums •Community Events & Integrated PR •Valuable Perks  Ethos •Mentor-driven •Deliverables •Agile Methodology & Lean Startup Coaching •Community Involvement  Financing •$50K Investment upon program acceptance (from DECENTRAL FUND 1) •$25K+ Perks during program (provided by DECENTRAL partner organizations) •$100K Investment in the startup’s digital commodities or 100K Convertible Debt Note – upon Grad on Demo Day (from DECENTRAL FUND 1) •$10M+ after Demo Day (IR provided by DECENTRAL)  Results •Startups graduate to receive seed capital, series A, & global product launches. •Startups are plugged into the optimum networks for their sectors •Startups grad with corporate structure, advisory boards, investors & all that is needed for rapid scale •Startups grad backed by the networks of their alumni, mentors & investors •Startups grad with Decentral Management as equity partners offering long-term support Surround yourself with a vibrant membership of entrepreneurs focused on decentralizing tech and financial innovation.  This quality community and flexible space is perfect for: •Solo entrepreneurs •Small company teams •Remote company divisions •Business travellers in need of temporary office space & networking  DECENTRAL provides everything needed in a friendly & fascinating environ. Being in the same building as companies like Ethereum, & just a floor below DECENTRAL ACCELERATE, brings a unique value. Imagine the extraordinary industry leaders, mentors, and investors  you can meet by simply being there. We apply strict criteria to the coworkers in the space, to create an optimum community. ","Information, Communications and Technology",Private,Incubator,http://www.bdaccelerate.com,64 Spadina Ave,,Toronto,Ontario,M5V 2H8 ‎,Managing Director and partner,A. Traviss ,Corry ,,info@BDAccelerate.com
BrightSpark Ventures,"BrightSpark Ventures focus on companies with “must-have” solutions that have traction in the real world. In order to capitalize on these opportunities, we believe that young companies must exclusively focus their early stage phase on value-creating activities such as building superior technology and gaining important customer feedback.; Brightspark cherry picks Canada’s best software, mobile, and Internet companies with a strong focus on repeat entrepreneurs.; ; Approach; ; Brightspark Ventures is comprised of experienced professionals responsible for identifying, evaluating and managing early stage software investment opportunities. We work closely with entrepreneurs during the initial investment phase to complete all due diligence and investment analysis. We often take lead positions in funding rounds in which we participate. We work closely with the angel community, venture capital firms and institutional investors to structure syndicated investments.; ; Brightspark works with entrepreneurs to build and grow successful companies.  It has built its unique reputation from being a real partner for entrepreneurs.; ; Brightspark Ventures has twice won the Canadian Venture Capital Association “Deal of the Year Award”, for the sale of ThinkDynamics to IBM and for the sale of Radian6 to Salesforce.com.; ","Information, Communications and Technology",Private,Accelerator,http://www.brightspark.com,2323 Yonge Street,Suite 502,Toronto,Ontario,M4P 2C9,,,,416-488-1999,info@brightspark.com
CEO Fusion,"CEO Fusion helps CEOs develop the entrepreneurial and managerial competencies necessary to successfully manage their changing enterprises while also facilitating the development of a community that can help them build the relational resources through which they can find the advice, resources, and support they need.  CEO Fusion helps filter out of the constant and often conflicting noise CEOs hear about what they should do to better their company. Our programs and on-line systems focus on best practices and hands-on advice with concise and relevant information.  We also recognize that CEOs need to network extensively and so we promote, through our Fusion Calendar, events held by other organizations that are relevant to CEOs. By ensuring CEOs have the competencies and resources they need to succeed we increase the probability that the companies they lead will be successful, becoming globally competitive organizations!",Mixed,Not-for-profit,Incubator,http://www.ceofusion.org/,70 Peter Street,,Toronto,Ontario,M5V 1J9,Executive Director,Bryan,Watson,,bwatson@ep-enterprises.com
Cleantech North,"CleanTech North (“CTN”) provides emerging Canadian clean technology (“cleantech”) companies with the mentorship and support required to enter – and succeed – in the global marketplace.; ; CTN offers promising cleantech companies access to unparalleled advice from top tier service providers (“CTN Cluster Sponsors”) with expertise in a broad range of areas. From access to investment capital, to assistance with developing distribution channels and overcoming regulatory barriers, CTN Cluster Sponsors bring a holistic approach toward working with companies to position them for success in the rapidly evolving cleantech industry.; ; Members in CleanTech North participate in monthly workshops and seminars aimed at increasing their market readiness and expanding their network within the industry. They also have direct access to CTN Cluster Sponsors who can provide industry insights and leading practices relevant to their business requirements. CTN Cluster Sponsors work together in a coordinated fashion to simplify and accelerate a member’s ability to meet their objectives.; ",Environment,Private,Accelerator,http://www.cleantechnorth.com,,,Toronto,Ontario,,,Bryan ,Watson,647-668-1594,bwatson@cleantechnorth.com 
Coalition Music,"It is impossible to talk about the past 25 years of history in Canadian music without mentioning Coalition Music. As thought leaders within the Canadian music industry, Coalition Music co-founders Eric Lawrence and Rob Lanni are the architects of a groundbreaking business built on the singular core belief that the artist is the most important person in the music industry and should be have the reins to develop an empowered, confident career. As the music industry has changed over the past two decades, Coalition Music has evolved with it. Since 1991, Coalition Music began as one of Canada’s first boutique music management companies and has grown into to an internationally recognized full-service home for artists at all stages of their careers. As the home of a management company that boasts some of Canada’s most lauded artists who have sold over twelve million albums, Coalition Music is proud to be partners in the success of internationally renowned artists including Our Lady Peace, Finger Eleven, Simple Plan, Justin Nozuka, and Ubiquitous Synergy Seeker. In 2010 Coalition Music set out once again to redefine what a music company does to benefit artists. By expanding its operations to a new building—the former home of a convent—and constructing its own world-class studio and rehearsal spaces, Coalition Music created a one-of-a-kind environment where musicians can create, evolve, and learn—Toronto’s Music Incubator.; ",Creative,Private,Incubator,http://www.coalitionent.com,1731 Lawrence Ave East  ,,Toronto,Ontario, M1R 2X7 ,Co-Founder,Eric ,Lawrence,,eric.lawrence@coalitionent.com
Cossette,"Cossette is an international communications firm with operations in Canada, the United States and the United Kingdom. It is one of the top communications companies in the world, servicing clients locally, nationally and on a global scale. It offers a full range of leading-edge communication services to more than 800 clients of all sizes, including some of the most prestigious brands in the world.  A customer-driven organization built upon highly specialized business units, Cossette believes in Convergent Communications™, a proprietary working method that brings all the key communication services together under one roof to maximize the return on our clients’ communications investments.  Cossette excels in various communications disciplines, including strategic planning and research, advertising, media planning and buying, sales promotion, CRM, database and direct marketing, interactive marketing and technology solutions, public relations and alliance marketing, branding and design, ethnic marketing, sports marketing, branded content and product placement and B2B marketing.  Cossette has approximately 1,650 employees and offices in Quebec City, Montreal, Toronto, Vancouver, Halifax, New York, Los Angeles, Irvine, London, Moscow and Shanghai.; ; Cossette Communication Group Inc. is a publicly traded company. Its shares trade on the Toronto Stock Exchange under the symbol KOS.;","Information, Communications and Technology",Private,Incubator,http://www.cossette.com,32 Atlantic Avenue,,Toronto,Ontario,M6K 1X8 ,"Vice President, Product and Technology Strategy",Joe,Dee,416-725-7389,joe.dee@cossette.com
Driven Accelerator Group,"We were founded on the principle that resources and opportunities offer the most value when all entrepreneurs have equal access. We invest our support in Canadian founders with great ideas who are leveraging technology to build companies that transform the digital landscape. By cultivating a culture rooted in equality, community and collaboration we seek to accelerate the success of startups innovating in the fields of web and mobile apps, cloud computing, and consumer internet.; ; Despite being a young program, we’ve been able to mentor and grow 8 companies since our launch in 2012. We’re proud of our alumni reaching their product and funding milestones. ","Information, Communications and Technology",Not-for-profit,Incubator,http://www.http://drivenaccelerator.com/,376 Bathurst Street  ,,Toronto,Ontario,M5T 2S6,CEO,Tamar-Melissa,Huggins,,drivenaccelerator@gmail.com
Ember Business Exchange ,"Ember Business Exchange helps women entrepreneurs to launch and grow strong companies.  We help our members succeed faster through the power of community, expert mentorship, and funding opportunities.  •Community: Ember is a place where entrepreneurs collaborate and share ideas, contacts, and strategies for growth.  With our individual workspace, live events and online tools, you’ll have everything you need to connect with like-minded women who can help you grow faster.  •Mentorship: Need access to sales & marketing, legal, or accounting expertise?  Get that and more when you tap into our team of mentors who understand the special challenges of young companies.  Our experts are available in person, by phone, and online, so you can get the help you need from a trusted advisor, without the usual time and expense.  •Funding: Bringing your best ideas to market may require real capital, so we’re ready to guide you to the best funding sources for your growth goals and situation.  We can help you find the right funding sources and make the perfect pitch. •Space: Located at 1 Yonge Street in downtown Toronto, our bright and spacious offices are WIFI-ready with state-of-the-art facilities so you can host your own events, present keynote sessions, and meet with potential customers in one of our beautiful, modern boardrooms.  Whether you have a fresh new idea or an existing business with untapped potential, joining Ember is a fast track to greater growth and results.  Get To Where You Need To Grow  There’s never been a better time to join our professional community – arrange a quick tour of our Incubator space or get started with a free trial of our membership program now.",Mixed,Private,Incubator,http://www.emberbx.com,1 Yonge Street,Suite 2002,Toronto,Ontario,M5E 1E5,"Vice President, Operations",Gail,Gillian-Bain,,ggillian@tbdc.com
Fasken Martineau LLP’s Start-up  and  Entrepreneurial Development Program,"Fasken Martineau knows that financial resources are especially precious during the early days of a business and that the cost of expert legal advice can be daunting. In response to this reality, we have launched the Start-up Program.  Designed for companies in their early stages, this one-year program accepts applications from all industry sectors. Our professionals will guide you through all the challenges you might experience at the starting phase.  By enrolling in the Program, members will not only have access to expert advice from leading legal professionals and our Entrepreneur-in-Residence, but also to a full range of legal services.  The 12 month program provides the following benefits to its members at a low monthly price:  1) Incorporation and organization of a corporation OR registration of a trade-mark in Canada, subject to certain conditions;  2) Access to templates, such as intellectual property (IP) assignments and non-disclosure agreements;  3) Kick-off meeting to implement an IP strategy and Fasken Martineau’s unique IP management structure;  4) 2 hours of consultation per month (legal drafting not included);  5) Access to Fasken Martineau’s Start-up Community; and  6) a 10% discount on hourly rates for other services (patents, shareholders, agreement, licenses, etc.).  We have over 30 companies currently enrolled in our program from a variety of industries, including medical devices, software and pharma; clean tech; and information technology.",Mixed,Private,Incubator,http://www.faskenstartup.com,333 Bay St.,"Suite 2400, Box 20",Toronto,Ontario,M5H 2T6,,,,416-366-8381,toronto@fasken.com
