รายได้เฉลี่ยต่อเดือนต่อครัวเรือน จำแนกตามภาค และจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly Income Per Household: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาค และจังหวัด,,2541,2543,2545,2547,2549,2550,2552,2554,2556,2558,Region and province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1998),(2000),(2002),(2004),(2006),(2007),(2009),(2011),(2013),(2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ทั่วราชอาณาจักร ,," 12,492 "," 12,150 "," 13,736 "," 14,963 "," 17,787 "," 18,660 "," 20,904 "," 23,236 "," 25,194 "," 26,915 ", Whole Kingdom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ตอนพิเศษ ,," 24,929 "," 25,242 "," 28,239 "," 28,135 "," 33,088 "," 35,007 "," 37,732 "," 41,631 "," 43,058 "," 41,002 ", Greater Bangkok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กรุงเทพมหานคร ,," 26,054 "," 26,909 "," 29,589 "," 29,843 "," 36,658 "," 39,020 "," 42,380 "," 48,951 "," 49,191 "," 45,572 ",     Bangkok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สมุทรปราการ ,," 18,100 "," 15,745 "," 19,680 "," 19,946 "," 20,382 "," 21,302 "," 23,359 "," 23,798 "," 29,575 "," 25,457 ",     Samut Prakan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นนทบุรี ,," 24,211 "," 24,566 "," 29,119 "," 26,658 "," 31,152 "," 32,743 "," 34,626 "," 35,120 "," 30,664 "," 36,884 ",     Nonthaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ปทุมธานี ,," 21,793 "," 19,282 "," 22,838 "," 21,530 "," 25,143 "," 26,107 "," 26,686 "," 21,616 "," 33,461 "," 41,057 ",     Pathum Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคกลาง ,," 12,643 "," 13,012 "," 14,128 "," 16,355 "," 19,279 "," 18,932 "," 20,960 "," 20,822 "," 26,114 "," 26,601 ", Central Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พระนครศรีอยุธยา ,," 12,918 "," 14,904 "," 13,319 "," 14,980 "," 19,676 "," 21,676 "," 25,820 "," 22,302 "," 26,482 "," 28,379 ",     Phra Nakhon Si Ayutthaya ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อ่างทอง ,," 10,878 "," 12,544 "," 11,653 "," 12,855 "," 18,300 "," 17,704 "," 25,506 "," 21,140 "," 28,641 "," 23,351 ",     Ang Thong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ลพบุรี ,," 10,587 "," 10,649 "," 11,010 "," 15,003 "," 19,935 "," 16,852 "," 22,405 "," 17,178 "," 23,426 "," 22,955 ",     Lop Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สิงห์บุรี ,," 10,786 "," 11,894 "," 14,434 "," 14,788 "," 18,510 "," 20,558 "," 25,419 "," 26,068 "," 28,115 "," 26,112 ",     Sing Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ชัยนาท ,," 11,159 "," 12,693 "," 11,119 "," 13,383 "," 13,058 "," 13,995 "," 18,719 "," 20,181 "," 32,754 "," 22,059 ",     Chai Nat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สระบุรี ,," 13,281 "," 12,319 "," 14,677 "," 18,742 "," 20,468 "," 22,363 "," 21,947 "," 27,114 "," 32,834 "," 29,413 ",     Saraburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ชลบุรี ,," 14,075 "," 13,807 "," 16,797 "," 22,286 "," 21,869 "," 22,260 "," 24,052 "," 23,007 "," 28,367 "," 27,257 ",     Chon Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ระยอง ,," 12,491 "," 14,739 "," 13,255 "," 18,962 "," 20,018 "," 25,090 "," 22,983 "," 21,929 "," 30,401 "," 30,315 ",     Rayong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     จันทบุรี ,," 15,548 "," 11,527 "," 15,959 "," 15,897 "," 20,606 "," 18,866 "," 19,442 "," 24,278 "," 27,284 "," 36,024 ",     Chanthaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ตราด ,," 11,703 "," 7,426 "," 13,822 "," 14,080 "," 20,286 "," 16,664 "," 16,949 "," 28,118 "," 21,653 "," 25,333 ",     Trat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ฉะเชิงเทรา ,," 14,010 "," 13,781 "," 14,829 "," 16,938 "," 16,770 "," 20,665 "," 21,252 "," 23,031 "," 34,548 "," 27,555 ",     Chachoengsao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ปราจีนบุรี ,," 9,852 "," 10,477 "," 12,720 "," 15,032 "," 16,031 "," 18,263 "," 22,548 "," 25,338 "," 21,039 "," 24,166 ",     Prachin Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครนายก ,," 11,809 "," 12,595 "," 10,722 "," 13,096 "," 14,104 "," 15,983 "," 17,503 "," 17,042 "," 23,391 "," 23,555 ",     Nakhon Nayok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สระแก้ว ,," 6,958 "," 8,355 "," 9,951 "," 10,777 "," 11,577 "," 13,593 "," 15,525 "," 17,781 "," 24,805 "," 26,953 ",     Sa Kaeo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ราชบุรี ,," 12,868 "," 15,174 "," 14,692 "," 19,867 "," 23,202 "," 17,576 "," 20,994 "," 18,713 "," 25,742 "," 19,590 ",     Ratchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     กาญจนบุรี ,," 13,082 "," 11,680 "," 15,380 "," 12,122 "," 15,606 "," 15,326 "," 17,571 "," 15,210 "," 18,746 "," 18,884 ",     Kanchanaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สุพรรณบุรี ,," 12,409 "," 13,334 "," 12,984 "," 15,781 "," 14,783 "," 15,112 "," 15,797 "," 15,928 "," 17,260 "," 15,786 ",     Suphan Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     นครปฐม ,," 15,178 "," 18,297 "," 18,674 "," 20,701 "," 33,835 "," 25,447 "," 24,989 "," 22,955 "," 30,856 "," 40,347 ",     Nakhon Pathom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สมุทรสาคร ,," 17,565 "," 13,775 "," 16,437 "," 15,347 "," 19,555 "," 18,735 "," 20,978 "," 20,850 "," 23,658 "," 29,347 ",     Samut Sakhon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     สมุทรสงคราม ,," 11,540 "," 13,072 "," 13,876 "," 12,528 "," 16,923 "," 12,634 "," 18,363 "," 15,068 "," 16,257 "," 18,310 ",     Samut Songkhram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เพชรบุรี ,," 14,135 "," 12,390 "," 15,993 "," 13,040 "," 15,042 "," 17,855 "," 17,440 "," 20,026 "," 21,784 "," 26,431 ",     Phetchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ประจวบคีรีขันธ์ ,," 10,017 "," 10,840 "," 11,666 "," 13,806 "," 16,238 "," 17,932 "," 16,934 "," 17,477 "," 28,459 "," 23,523 ",     Prachuap Khiri Khan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคเหนือ ,," 9,779 "," 8,652 "," 9,530 "," 10,885 "," 13,146 "," 13,568 "," 15,727 "," 17,350 "," 19,267 "," 18,952 ", Northern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     เชียงใหม่ ,," 10,349 "," 9,243 "," 9,582 "," 12,586 "," 14,904 "," 14,386 "," 16,141 "," 18,323 "," 14,393 "," 14,950 ",     Chiang Mai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ลำพูน ,," 8,722 "," 10,231 "," 11,328 "," 11,843 "," 14,361 "," 14,104 "," 20,048 "," 18,778 "," 22,505 "," 23,834 ",     Lamphun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ลำปาง ,," 14,177 "," 9,735 "," 9,759 "," 10,576 "," 15,585 "," 13,531 "," 14,020 "," 18,454 "," 19,262 "," 20,466 ",     Lampang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     อุตรดิตถ์ ,," 10,044 "," 7,270 "," 8,581 "," 10,940 "," 14,220 "," 15,001 "," 15,865 "," 17,602 "," 21,344 "," 19,239 ",     Uttaradit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     แพร่ ,," 8,522 "," 9,366 "," 10,048 "," 11,333 "," 12,591 "," 14,045 "," 13,034 "," 18,157 "," 19,418 "," 21,796 ",     Phrae ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     น่าน ,," 7,387 "," 7,334 "," 8,130 "," 10,751 "," 10,590 "," 11,407 "," 14,624 "," 16,249 "," 17,598 "," 17,886 ",     Nan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     พะเยา ,," 7,491 "," 5,928 "," 9,520 "," 9,643 "," 10,352 "," 11,348 "," 13,189 "," 14,457 "," 15,491 "," 17,673 ",     Phayao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
